 |Approximate root|       Precision|
1|         -0.8095|     7.17647E+00|
2|         -0.6461|     2.52875E-01|
3|          1.4027|     1.46062E+00|
4|          1.5649|     1.03637E-01|
5|          1.4390|     8.74969E-02|
6|          1.4420|     2.06114E-03|
7|          1.4423|     1.80936E-04|
8|          1.4422|     4.05351E-07|

number of iterations: 8
execution time: 0.000419
