 |Approximate root|       Precision|
1|          2.7292|     4.65649E-01|
2|          1.9537|     3.96920E-01|
3|          1.5645|     2.48805E-01|
4|          1.4515|     7.77860E-02|
5|          1.4423|     6.40520E-03|
6|          1.4422|     4.12034E-05|
7|          1.4422|     1.69777E-09|

number of iterations: 7
execution time: 0.061601
