 |Approximate root|       Precision|
1|          0.7595|     2.95021E+00|
2|          0.5880|     2.91530E-01|
3|          0.5695|     3.26026E-02|
4|          0.5674|     3.62851E-03|
5|          0.5672|     4.03546E-04|
6|          0.5671|     4.48769E-05|
7|          0.5671|     4.99055E-06|

number of iterations: 7
execution time: 0.003151
