  |              xu|              xl|Approximate root|       Precision|
 1|         -1.0000|          3.0000|          1.0000|          2.0000|
 2|          1.0000|          3.0000|          2.0000|          0.5000|
 3|          1.0000|          2.0000|          1.5000|          0.3333|
 4|          1.0000|          1.5000|          1.2500|          0.2000|
 5|          1.2500|          1.5000|          1.3750|          0.0909|
 6|          1.3750|          1.5000|          1.4375|          0.0435|
 7|          1.4375|          1.5000|          1.4688|          0.0213|
 8|          1.4375|          1.4688|          1.4531|          0.0108|
 9|          1.4375|          1.4531|          1.4453|          0.0054|
10|          1.4375|          1.4453|          1.4414|          0.0027|
11|          1.4414|          1.4453|          1.4434|          0.0014|
12|          1.4414|          1.4434|          1.4424|          0.0007|
13|          1.4414|          1.4424|          1.4419|          0.0003|
14|          1.4419|          1.4424|          1.4421|          0.0002|
15|          1.4421|          1.4424|          1.4423|          0.0001|
16|          1.4421|          1.4423|          1.4422|          0.0000|
17|          1.4422|          1.4423|          1.4422|          0.0000|
18|          1.4422|          1.4423|          1.4422|          0.0000|
19|          1.4422|          1.4423|          1.4423|          0.0000|

number of iterations: 19
execution time: 0.003126
