  |Approximate root|       Precision|
 1|          0.0000|     0.00000E+00|
 2|          1.0000|     1.00000E+00|
 3|          0.3679|     1.71828E+00|
 4|          0.6922|     4.68536E-01|
 5|          0.5005|     3.83091E-01|
 6|          0.6062|     1.74468E-01|
 7|          0.5454|     1.11566E-01|
 8|          0.5796|     5.90335E-02|
 9|          0.5601|     3.48087E-02|
10|          0.5711|     1.93080E-02|
11|          0.5649|     1.10887E-02|

number of iterations: 11
execution time: 0.513795
